name,price,quantity
Чиабатта с индейкой су-вид и горчичным соусом,237,1880
Чиабатта с куриным филе и соусом «Песто»,258,1284
"Чиабатта с курицей, 205 г",238,1622
"Чиабатта с курицей, моцареллой и омлетом, кафе",220,0
"Чиабатта с тунцом и яйцом, кафе",220,0
"Чуду с фасолью и грецким орехом, постный, 2 шт",165,240
Шаурма грузинская,284,1416
Шаурма с курицей и печеным картофелем,242,1322
"Шаурма с курицей, 180 г",228,520
"Шаурма с курицей, 230 г",208,2730
Шаурма с люля из баранины,281,450
Шницель из свинины в сырной панировке с картофельным пюре,260,240
"Шницель из свинины в сырной панировке, 350 г",410,220
Шницель куриный в сырной панировке с макаронами,280,2140
Шницель куриный в яйце с картофельным пюре,268,1560
"Шницель куриный в яйце, 360 г",440,1068
"Штрудель яблочный, веган",130,490
Щечка телячья томленая,576,1104
Щечки томленные с давленным печеным картофелем,426,100
Щи из свежей капусты с курицей,214,418
"Щи из свежей капусты с курицей, 1 кг",430,168
Яйца перепелиные копченые «Молодецкие»,298,6844
"Азу из говядины с маринованными огурцами, 500 г",830,0
Азу из индейки с рисом_РП,260,0
Английский завтрак,440,0
Бефстроганов из индейки с картофелем_РП,255,0
Биточки курин. с цукини с пюре из батата,218,0
Биточки куриные с гречкой в соусе барбекю пастеризованные_РП,219,0
Биточки куриные с гречкой и овощами пастеризованные_РП,225,0
Биточки куриные с овощами на пару_РП,190,0
Бифштекс говяжий с яйцом и картофельным пюре,390,0
"Блинчики мини с мясом, 400 г",305,0
Блинчики на козьем молоке,168,0
Блинчики с вареной сгущенкой,205,0
Блинчики с курицей и сметаной,215,0
Блинчики с печенью и яйцом,195,0
Блинчики с творогом,203,0
"Блины пшеничные, 500 г_РП",229,0
Блины пшеничные_РП,114,0
"Блины с яблоком, 210 г_РП",164,0
Большая порция ленивых голубцов в сметанном соусе,522,0
Большая порция сырников с малиной,361,0
Большая порция сырников творожных с начинкой «Манго-Маракуйя»,452,0
Большая порция сырников творожных со сметаной и малиновым вареньем,381,0
